pixel_x;pixel_y;field_x;field_y
278;45;-200;-200
303;46;-150;-200
334;52;-100;-200
369;67;-50;-200
406;85;0;-200
436;111;50;-200
460;137;100;-200
478;164;150;-200
492;182;200;-200
254;59;-200;-150
279;58;-150;-150
311;64;-100;-150
352;79;-50;-150
393;103;0;-150
430;136;50;-150
457;158;100;-150
476;182;150;-150
490;210;200;-150
225;77;-200;-100
249;80;-150;-100
285;86;-100;-100
328;105;-50;-100
374;133;0;-100
419;164;50;-100
450;194;100;-100
471;220;150;-100
486;241;200;-100
198;100;-200;-50
221;105;-150;-50
251;122;-100;-50
296;138;-50;-50
354;164;0;-50
404;204;50;-50
433;237;100;-50
460;260;150;-50
474;275;200;-50
175;135;-200;0
187;146;-150;0
219;165;-100;0
256;186;-50;0
314;224;0;0
378;265;50;0
412;286;100;0
435;301;150;0
454;310;200;0
153;173;-200;50
167;189;-150;50
194;216;-100;50
223;247;-50;50
276;291;0;50
339;319;50;50
382;329;100;50
409;337;150;50
430;342;200;50
141;207;-200;100
153;231;-150;100
175;257;-100;100
209;291;-50;100
255;325;0;100
306;349;50;100
347;360;100;100
380;365;150;100
406;370;200;100
134;238;-200;150
148;261;-150;150
170;291;-100;150
199;321;-50;150
240;352;0;150
284;371;50;150
322;382;100;150
352;388;150;150
381;388;200;150
135;266;-200;200
149;291;-150;200
166;316;-100;200
194;342;-50;200
230;366;0;200
268;385;50;200
302;395;100;200
333;400;150;200
358;401;200;200
